,Startup Name,Founding Date,Founder(s),Founder Gender,Industry/Vertical,City,Investor(s),Funding Date,Investment Type,Investment Amount (USD),Yearly GDP (% Growth),Unicorn Company,Valuation (B USD)
2731,Ezyhaul,,,,Technology,,Undisclosed,10/07/2019,Series B,16000000,3.74,,
2732,Indus Os,,,,Technology,,Ventureast,10/07/2019,Series B,5750000,3.74,,
2733,Healthassure,,,,Health & Fitness,Greater Mumbai,Blume Ventures,10/07/2019,Series A,2500000,3.74,,
2734,Moglix,,,,E-commerce,,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",11/07/2019,Series D to late stage,60000000,3.74,Yes,2.6
2735,Cardekho,,,,E-commerce,Gurgaon,Sc Gg India Mobility Holdings Llc,01/08/2019,Series C,20000000,3.74,Yes,1.2
2736,Progcap,2016.0,,Female,Fintech,New Delhi,Sequoia India,01/08/2019,Series A,5000000,3.74,,
2737,Mypetrolpump,,,,Retail,Bangalore,,01/08/2019,Early stage,1600000,3.74,,
2738,Alteria Capital,2018.0,,Male,Fintech,Greater Mumbai,"Azim Premji, Binny Bansal",01/08/2019,Other,140000000,3.74,,
2739,Pine Labs,1998.0,,,IT,Noida,Pine Labs Pte Ltd,01/08/2019,Other,38080000,3.74,Yes,5.0
2740,Meesho,2015.0,,,E-commerce,Bangalore,Naspers,12/08/2019,Series D to late stage,125000000,3.74,Yes,4.9
2741,Cars24,,,,E-commerce,,Ms Dhoni,13/08/2019,Series D to late stage,11000000,3.74,Yes,3.3
2742,Uniphore,,,,Platforms & Social Media,,March Capital Partners,13/08/2019,Series C,51000000,3.74,,
2743,Mishry Reviews,,,,SaaS,Gurgaon,Vir Sanghvi,19/08/2019,,0,3.74,,
2744,Grofers,,,,E-commerce,Gurgaon,Softbank Vision Fund,19/08/2019,Series D to late stage,70000000,3.74,,
2745,Hungerbox,,,,Food & Beverages,Bangalore,One97 Communications Ltd.,21/08/2019,Series C,6590000,3.74,,
2746,Indwealth,,,,Fintech,Gurgaon,Tiger Global Management,22/08/2019,,0,3.74,,
2747,Zendrive,,,,Automotive,,Xl Innovate,23/08/2019,Series B,37000000,3.74,,
